Year;Pollution_display;Total_a;Total_b;Total_c
6916;0;109;0;0
6917;0;117;0;0
6918;0;114;0;0
6919;0;115;0;0
6920;0;110;0;0
6921;0;114;0;0
6922;0;108;0;0
6923;0;106;0;0
6924;0;110;0;0
6925;0;102;0;1
6926;0;106;0;0
6927;0;116;0;0
6928;0;119;0;1
6929;0;115;0;0
6930;0;111;0;1
6931;0;103;0;2
6932;0;114;0;0
6933;0;109;0;0
6934;0;110;0;0
6935;0;103;0;0
6936;0;106;0;0
6937;0;114;0;0
6938;0;114;0;0
6939;0;108;0;0
6940;0;107;0;0
6941;0;104;0;0
6942;0;107;0;0
6943;0;115;0;0
6944;0;108;0;0
6945;0;105;0;0
6946;0;108;0;0
6947;0;108;0;1
6948;0;117;0;0
6949;0;110;0;0
6950;0;109;0;0
6951;0;110;0;0
6952;0;105;0;0
6953;0;114;0;0
6954;0;110;0;1
6955;0;115;0;1
6956;0;110;0;0
6957;0;108;0;0
6958;0;109;0;1
6959;0;119;0;0
6960;0;112;0;0
6961;0;115;0;0
6962;0;107;0;0
6963;0;111;0;0
6964;0;108;0;0
6965;0;110;0;0
6966;0;108;0;1
6967;0;112;0;0
6968;0;109;0;0
6969;0;108;0;0
6970;0;118;0;0
6971;0;113;0;0
6972;0;107;0;0
6973;0;109;0;1
6974;0;108;0;0
6975;0;109;0;0
6976;0;112;0;0
6977;0;101;0;2
6978;0;114;0;0
6979;0;117;0;0
6980;0;111;0;0
6981;0;107;0;0
6982;0;108;0;0
6983;0;106;0;0
6984;0;110;0;0
6985;0;112;0;0
6986;1;114;1;0
6987;1;107;1;0
6988;1;107;1;0
6989;0;119;0;0
6990;0;119;0;0
6991;0;117;0;0
6992;0;119;0;0
6993;0;119;0;0
6994;0;118;0;0
6995;0;117;0;0
6996;0;117;0;1
6997;0;120;0;0
6998;0;119;0;0
6999;0;114;0;0
7000;0;119;0;0
7001;0;118;0;0
7002;0;119;0;0
7003;0;120;0;0
7004;0;116;0;0
7005;0;110;0;0
7006;0;109;0;0
7007;0;106;0;0
7008;0;108;0;0
7009;0;107;0;0
7010;0;108;0;1
7011;0;103;0;0
7012;0;118;0;0
7013;0;103;0;0
7014;0;118;0;0
7015;0;112;0;1
7016;0;113;0;0
7017;0;112;0;0
7018;0;108;0;0
7019;0;108;0;0
7020;0;110;0;0
7021;0;114;0;0
7022;0;109;0;0
7023;0;114;0;0
7024;0;111;0;0
7025;0;103;0;1
7026;0;108;0;0
7027;0;114;0;1
7028;0;107;0;0
7029;1;104;1;0
7030;0;116;0;0
7031;0;119;0;0
7032;1;118;1;1
7033;0;117;0;1
7034;0;119;0;1
7035;0;118;0;2
7036;0;117;0;0
7037;0;120;0;0
7038;0;117;0;0
7039;0;119;0;0
7040;0;119;0;0
7041;0;119;0;1
7042;0;120;0;0
7043;0;119;0;0
7044;0;118;0;0
7045;0;120;0;0
7046;0;115;0;1
7047;0;120;0;0
7048;0;118;0;0
7049;0;112;0;0
7050;0;109;0;0
7051;0;104;0;0
7052;0;105;0;0
7053;1;99;1;0
7054;1;107;1;0
7055;0;119;0;1
7056;0;116;0;2
7057;0;117;0;0
7058;0;120;0;0
7059;1;119;1;0
7060;0;116;0;0
7061;0;119;0;1
7062;0;120;0;0
7063;0;120;0;0
7064;0;120;0;0
7065;0;116;0;0
7066;0;117;0;0
7067;0;116;0;0
7068;0;115;0;0
7069;0;117;0;0
7070;0;119;0;0
7071;0;117;0;0
7072;0;118;0;0
7073;0;118;0;1
7074;0;112;0;0
7075;0;107;0;0
7076;0;111;0;0
7077;0;109;0;0
7078;0;108;0;0
7079;0;114;0;0
7080;0;115;0;1
7081;0;108;0;0
7082;0;112;0;0
7083;0;114;0;1
7084;0;104;0;0
7085;0;107;0;0
7086;0;107;0;0
7087;0;114;0;0
7088;1;113;1;0
7089;0;116;0;0
7090;0;117;0;1
7091;0;120;0;0
7092;0;118;0;0
7093;0;120;0;0
7094;0;117;0;0
7095;1;118;1;1
7096;0;119;0;1
7097;0;120;0;0
7098;0;115;0;0
7099;1;118;1;0
7100;0;119;0;0
7101;0;116;0;0
7102;0;120;0;0
7103;0;120;0;0
7104;1;119;1;0
7105;0;120;0;0
7106;1;116;1;1
7107;0;117;0;1
7108;0;119;0;0
7109;0;117;0;0
7110;0;116;0;0
7111;0;120;0;0
7112;0;120;0;0
7113;0;120;0;0
7114;1;118;1;0
7115;0;120;0;0
7116;0;117;0;0
7117;0;120;0;0
7118;1;119;1;0
7119;0;120;0;0
7120;0;120;0;0
7121;0;120;0;0
7122;0;120;0;0
7123;0;120;0;0
7124;0;120;0;0
7125;0;120;0;0
7126;0;117;0;0
7127;0;116;0;0
7128;0;117;0;0
7129;0;120;0;0
7130;0;119;0;0
7131;0;120;0;0
7132;0;117;0;0
7133;0;119;0;0
7134;0;118;0;0
7135;1;106;1;1
7136;0;112;0;2
7137;0;116;0;0
7138;0;114;0;0
7139;0;120;0;0
7140;0;120;0;0
7141;0;115;0;0
7142;0;114;0;0
7143;0;118;0;0
7144;0;114;0;0
7145;0;119;0;0
7146;0;120;0;0
7147;0;116;0;0
7148;0;119;0;0
7149;0;119;0;0
7150;1;117;1;0
7151;1;118;1;0
7152;0;120;0;0
7153;0;117;0;0
7154;0;120;0;0
7155;0;120;0;0
7156;0;120;0;0
7157;0;120;0;0
7158;0;120;0;0
7159;0;119;0;1
7160;0;120;0;0
7161;0;117;0;1
7162;0;115;0;0
7163;0;119;0;0
7164;0;118;0;1
7165;0;119;0;0
7166;0;109;0;0
7167;0;107;0;0
7168;0;111;0;0
7169;0;109;0;0
7170;0;106;0;0
7171;0;110;0;0
7172;0;110;0;1
7173;0;112;0;0
7174;0;111;0;0
7175;0;111;0;0
7176;1;113;1;0
7177;0;119;0;0
7178;0;119;0;0
7179;0;120;0;0
7180;0;114;0;0
7181;0;116;0;0
7182;0;119;0;0
7183;0;120;0;0
7184;0;113;0;0
7185;0;120;0;0
7186;0;120;0;0
7187;0;117;0;0
7188;1;115;1;0
7189;0;120;0;0
7190;0;120;0;0
7191;0;118;0;0
7192;0;117;0;0
7193;0;120;0;0
7194;0;120;0;0
7195;0;120;0;0
7196;0;118;0;0
7197;0;120;0;0
7198;0;120;0;0
7199;0;119;0;0
7200;0;118;0;0
7201;0;120;0;0
7202;0;120;0;0
7203;0;117;0;0
7204;0;116;0;0
7205;0;109;0;0
7206;0;104;0;0
7207;0;112;0;0
7208;0;109;0;0
7209;0;106;0;0
7210;0;107;0;0
7211;0;119;0;0
7212;0;115;0;0
7213;0;111;0;1
7214;0;108;0;1
7215;0;117;0;0
7216;0;106;0;1
7217;0;109;0;0
7218;0;112;0;1
7219;0;106;0;0
7220;0;106;0;0
7221;0;111;0;0
7222;0;116;0;0
7223;0;109;0;1
7224;0;111;0;0
7225;0;107;0;0
7226;0;116;0;1
7227;0;107;0;2
7228;0;108;0;0
7229;0;110;0;0
7230;0;114;0;0
7231;0;116;0;0
7232;1;102;1;0
7233;1;111;1;0
7234;0;111;0;0
7235;0;113;0;0
7236;1;119;1;0
7237;0;120;0;0
7238;0;120;0;0
7239;0;119;0;0
7240;0;119;0;0
7241;1;119;1;0
7242;0;120;0;0
7243;0;119;0;0
7244;0;120;0;0
7245;0;118;0;0
7246;0;119;0;1
7247;0;118;0;0
7248;0;120;0;0
7249;0;116;0;0
7250;0;117;0;0
7251;0;120;0;0
7252;0;120;0;0
7253;0;118;0;0
7254;0;117;0;0
7255;0;118;0;0
7256;0;120;0;0
7257;0;114;0;0
7258;0;113;0;0
7259;0;108;0;0
7260;0;112;0;0
7261;0;113;0;0
7262;1;105;1;0
7263;0;112;0;0
7264;2;115;2;0
7265;1;114;1;0
7266;1;113;1;0
7267;0;119;0;1
7268;0;118;0;0
7269;0;117;0;0
7270;0;119;0;0
7271;0;118;0;0
7272;0;120;0;0
7273;0;120;0;0
7274;0;120;0;0
7275;0;120;0;0
7276;0;116;0;0
7277;0;119;0;0
7278;0;118;0;0
7279;0;120;0;0
7280;0;120;0;0
7281;0;118;0;0
7282;0;115;0;1
7283;0;103;0;0
7284;0;106;0;0
7285;0;104;0;0
7286;0;114;0;0
7287;0;112;0;0
7288;0;106;0;0
7289;0;108;0;0
7290;0;116;0;0
7291;0;114;0;0
7292;0;108;0;0
7293;0;109;0;0
7294;0;112;0;0
7295;0;104;0;1
7296;0;109;0;0
7297;0;109;0;0
7298;1;108;1;0
7299;0;110;0;0
7300;0;118;0;0
7301;1;116;1;1
7302;0;119;0;1
7303;0;119;0;0
7304;0;120;0;0
7305;0;119;0;0
7306;0;120;0;0
7307;1;118;1;0
7308;1;117;1;1
7309;0;115;0;1
7310;0;119;0;0
7311;0;119;0;0
7312;0;119;0;1
7313;0;118;0;1
7314;0;111;0;0
