Year;average_satisfaction_of_red_individuals;average_satisfaction_of_blue_individuals
4125;16.923;30.154
4130;16.923;30.154
4135;16.923;30.0
4140;16.923;29.846
4145;16.769;29.538
4150;16.615;29.538
4155;16.615;29.538
4160;16.462;29.538
4165;16.308;29.538
4170;16.154;29.692
4175;16.154;29.538
4180;16.154;29.538
4185;16.0;29.538
4190;16.0;29.538
4195;16.0;29.538
4200;16.0;29.846
4205;16.0;29.846
4210;16.0;29.846
4215;15.846;29.846
4220;15.846;29.846
4225;16.154;29.692
4230;16.0;29.538
4235;16.154;29.538
4240;16.154;29.692
4245;16.0;29.692
4250;15.846;29.692
4255;15.846;29.538
4260;15.846;29.385
4265;15.846;29.231
4270;15.846;29.231
4275;15.692;29.385
4280;15.692;29.385
4285;15.692;29.385
4290;15.692;29.231
4295;15.538;29.385
4300;15.385;29.538
4305;15.231;29.538
4310;15.231;29.538
4315;15.231;29.538
4320;15.385;29.538
4325;15.538;29.538
4330;15.538;29.538
4335;15.538;29.538
4340;15.231;29.538
4345;15.231;29.692
4350;15.077;29.692
4355;15.077;29.538
4360;15.077;29.538
4365;15.231;29.385
4370;15.231;29.385
4375;15.231;29.538
4380;15.385;29.538
4385;15.385;29.538
4390;15.231;29.231
4395;15.231;29.231
4400;15.231;29.231
4405;15.231;29.231
4410;15.231;29.231
4415;15.385;29.231
4420;15.231;29.231
4425;15.231;29.231
4430;15.231;29.231
4435;15.231;29.231
4440;15.231;29.231
4445;15.077;29.231
4450;15.385;29.231
4455;15.231;29.231
4460;15.231;29.231
4465;15.385;29.385
4470;15.385;29.385
4475;15.538;29.385
4480;15.538;29.385
4485;15.538;29.231
4490;15.538;29.231
4495;15.538;29.231
4500;15.385;29.077
4505;15.385;29.231
4510;15.385;29.231
4515;15.385;29.385
4520;15.385;29.231
4525;15.231;29.077
4530;15.385;28.923
4535;15.538;28.769
4540;15.538;28.769
4545;15.692;28.769
4550;15.846;28.462
4555;15.846;28.462
4560;15.846;28.462
4565;15.846;28.462
4570;15.846;28.462
4575;15.846;28.462
4580;15.846;28.462
4585;16.0;28.462
4590;15.846;28.462
4595;15.846;28.462
4600;15.846;28.462
4605;15.846;28.769
4610;15.846;28.769
4615;16.154;28.769
4620;16.308;28.615
4625;16.308;28.615
4630;16.308;28.769
4635;16.154;28.769
4640;16.154;28.769
4645;16.154;28.769
4650;16.308;28.923
4655;16.308;28.615
4660;16.462;28.615
4665;16.462;28.923
4670;16.462;28.923
4675;16.462;28.923
4680;16.462;28.923
4685;16.462;28.923
4690;16.615;28.923
4695;16.615;28.769
4700;16.769;28.769
4705;16.769;28.769
4710;16.769;28.769
4715;16.769;28.923
4720;16.769;29.077
4725;16.769;29.077
4730;16.769;28.769
4735;16.769;28.923
4740;16.769;28.923
4745;16.769;28.769
4750;16.769;28.769
4755;16.615;28.769
4760;16.615;28.923
4765;16.769;29.077
4770;16.769;29.231
4775;16.923;29.231
4780;17.077;29.231
4785;17.077;29.231
4790;17.231;29.231
4795;17.231;29.231
4800;17.385;29.231
4805;17.538;29.231
4810;17.692;29.385
4815;17.538;29.385
4820;17.231;29.231
4825;17.385;29.231
4830;17.385;29.231
4835;17.385;29.385
4840;17.538;29.385
4845;17.692;29.538
4850;17.846;29.538
4855;18.308;29.538
4860;18.462;29.538
4865;18.462;29.385
4870;18.462;29.385
4875;18.615;29.385
4880;18.769;29.385
4885;18.769;29.385
4890;18.923;29.538
4895;18.923;29.385
4900;18.923;29.385
4905;18.923;29.385
4910;19.077;29.385
4915;19.077;29.385
4920;19.231;29.385
4925;19.231;29.385
4930;19.231;29.538
4935;19.077;29.385
4940;19.077;29.385
4945;19.077;29.538
4950;18.923;29.692
4955;19.077;29.692
4960;19.077;29.846
4965;19.385;29.846
4970;19.538;29.846
4975;19.538;29.692
4980;19.692;29.692
4985;19.692;29.692
4990;19.846;29.692
4995;19.846;29.538
5000;19.692;29.538
5005;19.846;29.538
5010;20.0;29.692
5015;20.0;29.692
5020;20.0;29.385
5025;20.0;29.538
5030;20.154;30.0
5035;20.154;30.0
5040;20.154;30.154
5045;20.154;30.154
5050;20.154;30.0
5055;20.154;30.0
5060;20.308;29.846
5065;20.154;29.846
5070;20.154;29.846
5075;20.154;29.846
